c,idnew,trtid4,geoid10
7,1151,06037403802,"06037403802"
7,1152,06037403901,"06037403901"
7,1153,06037403902,"06037403902"
7,1154,06037404000,"06037404000"
5,1155,06037404100,"06037404100"
7,1156,06037404201,"06037404201"
7,1157,06037404202,"06037404202"
4,1158,06037404301,"06037404301"
4,1159,06037404302,"06037404302"
4,1160,06037404401,"06037404401"
4,1161,06037404402,"06037404402"
5,1162,06037404501,"06037404501"
5,1163,06037404503,"06037404503"
5,1164,06037404504,"06037404504"
4,1165,06037404600,"06037404600"
4,1166,06037404701,"06037404701"
9,1167,06037404702,"06037404702"
4,1168,06037404703,"06037404703"
7,1169,06037404801,"06037404801"
4,1170,06037404802,"06037404802"
4,1171,06037404803,"06037404803"
4,1172,06037404901,"06037404901"
9,1173,06037404902,"06037404902"
9,1174,06037404903,"06037404903"
4,1175,06037405001,"06037405001"
4,1176,06037405002,"06037405002"
7,1177,06037405101,"06037405101"
7,1178,06037405102,"06037405102"
4,1179,06037405201,"06037405201"
4,1180,06037405202,"06037405202"
9,1181,06037405203,"06037405203"
7,1182,06037405301,"06037405301"
7,1183,06037405302,"06037405302"
7,1184,06037405400,"06037405400"
7,1185,06037405500,"06037405500"
7,1186,06037405600,"06037405600"
7,1187,06037405701,"06037405701"
7,1188,06037405702,"06037405702"
7,1189,06037405800,"06037405800"
7,1190,06037405900,"06037405900"
7,1191,06037406000,"06037406000"
7,1192,06037406101,"06037406101"
7,1193,06037406102,"06037406102"
7,1194,06037406200,"06037406200"
9,1195,06037406300,"06037406300"
7,1196,06037406402,"06037406402"
7,1197,06037406411,"06037406411"
9,1198,06037406412,"06037406412"
7,1199,06037406500,"06037406500"
7,1200,06037406601,"06037406601"
7,1201,06037406602,"06037406602"
7,1202,06037406701,"06037406701"
7,1203,06037406702,"06037406702"
9,1204,06037406800,"06037406800"
4,1205,06037406901,"06037406901"
4,1206,06037406902,"06037406902"
4,1207,06037407001,"06037407001"
4,1208,06037407002,"06037407002"
4,1209,06037407101,"06037407101"
4,1210,06037407102,"06037407102"
4,1211,06037407200,"06037407200"
4,1212,06037407301,"06037407301"
4,1213,06037407302,"06037407302"
8,1214,06037407400,"06037407400"
4,1215,06037407501,"06037407501"
4,1216,06037407502,"06037407502"
4,1217,06037407601,"06037407601"
4,1218,06037407602,"06037407602"
4,1219,06037407701,"06037407701"
4,1220,06037407702,"06037407702"
4,1221,06037407801,"06037407801"
4,1222,06037407802,"06037407802"
7,1223,06037407900,"06037407900"
9,1224,06037408003,"06037408003"
9,1225,06037408004,"06037408004"
9,1226,06037408005,"06037408005"
9,1227,06037408006,"06037408006"
9,1228,06037408133,"06037408133"
8,1229,06037408134,"06037408134"
8,1230,06037408135,"06037408135"
9,1231,06037408136,"06037408136"
9,1232,06037408137,"06037408137"
4,1233,06037408138,"06037408138"
4,1234,06037408139,"06037408139"
4,1235,06037408140,"06037408140"
4,1236,06037408141,"06037408141"
4,1237,06037408202,"06037408202"
8,1238,06037408211,"06037408211"
8,1239,06037408212,"06037408212"
4,1240,06037408301,"06037408301"
4,1241,06037408302,"06037408302"
4,1242,06037408303,"06037408303"
7,1243,06037408401,"06037408401"
9,1244,06037408402,"06037408402"
4,1245,06037408501,"06037408501"
8,1246,06037408503,"06037408503"
9,1247,06037408504,"06037408504"
9,1248,06037408505,"06037408505"
8,1249,06037408623,"06037408623"
8,1250,06037408624,"06037408624"
8,1251,06037408625,"06037408625"
8,1252,06037408626,"06037408626"
8,1253,06037408627,"06037408627"
8,1254,06037408628,"06037408628"
8,1255,06037408629,"06037408629"
9,1256,06037408630,"06037408630"
9,1257,06037408631,"06037408631"
8,1258,06037408703,"06037408703"
8,1259,06037408704,"06037408704"
8,1260,06037408705,"06037408705"
8,1261,06037408706,"06037408706"
8,1262,06037408722,"06037408722"
8,1263,06037408723,"06037408723"
8,1264,06037408724,"06037408724"
4,1265,06037408800,"06037408800"
